AS Name,Mile,Cutoff TOD,Cutoff (h),FAST TOD,FAST (h),A-GOAL TOD,A-GOAL (h),B-GOAL TOD,B-GOAL (h),MID (h),BAND base,BAND height
"Start (DCR)",0,-,,Mon 5:00 AM,0.00,Mon 5:00 AM,0.00,Mon 5:00 AM,0.00,0.00,0.00,0.00
"Cottonwood Creek",7.4,Mon 9:50 AM,4.83,Mon 6:20 AM,1.34,Mon 6:39 AM,1.65,Mon 7:23 AM,2.40,1.50,1.34,0.32
"Lane Mtn",32.5,Mon 10:45 PM,17.75,Mon 1:25 PM,8.43,Mon 3:26 PM,10.45,Mon 8:09 PM,15.16,9.44,8.43,2.02
"Crown King",36.6,Mon 11:55 PM,18.92,Mon 2:26 PM,9.44,Mon 4:44 PM,11.74,Mon 10:03 PM,17.05,10.59,9.44,2.30
"Arrastra Creek",51.0,Tue 7:00 AM,26.00,Mon 4:58 PM,11.97,Mon 7:56 PM,14.95,Tue 2:45 AM,21.76,13.46,11.97,2.98
"Kamp Kipa",60.8,Tue 2:00 PM,33.00,Mon 6:47 PM,13.79,Mon 10:14 PM,17.24,Tue 6:05 AM,25.10,15.52,13.79,3.45
"Camp Wamatochick",67.4,Tue 4:45 PM,35.75,Mon 8:05 PM,15.10,Mon 11:56 PM,18.93,Tue 8:36 AM,27.61,17.02,15.10,3.84
"Whiskey Row",75.6,Tue 10:00 PM,41.00,Mon 10:08 PM,17.14,Tue 2:25 AM,21.43,Tue 12:02 PM,31.05,19.28,17.14,4.29
"Watson Lake",82.8,Wed 3:30 AM,46.50,Mon 11:28 PM,18.47,Tue 4:09 AM,23.16,Tue 2:36 PM,33.61,20.81,18.47,4.69
"Fain Ranch",96.5,Wed 6:00 AM,49.00,Tue 2:14 AM,21.25,Tue 7:37 AM,26.62,Tue 7:39 PM,38.66,23.94,21.25,5.38
"Mingus Mountain",107.2,Wed 1:00 PM,56.00,Tue 5:11 AM,24.19,Tue 11:20 AM,30.34,Wed 1:05 AM,44.10,27.26,24.19,6.15
"Jerome",124.2,Wed 8:30 PM,63.50,Tue 8:14 AM,27.24,Tue 3:11 PM,34.20,Wed 6:44 AM,49.74,30.72,27.24,6.96
"Dead Horse",132.9,Thu 12:00 AM,67.00,Tue 9:50 AM,28.83,Tue 5:12 PM,36.21,Wed 9:40 AM,52.67,32.52,28.83,7.37
"Deer Pass",146.9,Thu 4:45 AM,71.75,Tue 12:37 PM,31.63,Tue 8:44 PM,39.74,Wed 2:50 PM,57.85,35.68,31.63,8.11
"Sedona Posse Grounds",159.1,Thu 12:00 PM,79.00,Tue 3:04 PM,34.08,Tue 11:51 PM,42.85,Wed 7:24 PM,62.41,38.46,34.08,8.78
"Schnebly Hill",176.1,Thu 9:00 PM,88.00,Tue 8:58 PM,39.98,Wed 6:59 AM,49.99,Thu 5:21 AM,72.36,44.98,39.98,10.01
"Munds Park",190.0,Fri 2:45 AM,93.75,Tue 11:37 PM,42.62,Wed 10:20 AM,53.35,Thu 10:16 AM,77.28,47.99,42.62,10.72
"Kelly Canyon",202.7,Fri 8:00 AM,99.00,Wed 1:56 AM,44.94,Wed 1:17 PM,56.29,Thu 2:35 PM,81.60,50.62,44.94,11.35
"Fort Tuthill",211.0,Fri 12:45 PM,103.75,Wed 3:22 AM,46.37,Wed 3:06 PM,58.10,Thu 5:14 PM,84.24,52.24,46.37,11.73
"Walnut Canyon",227.1,Fri 7:45 PM,110.75,Wed 7:00 AM,50.00,Wed 7:36 PM,62.61,Thu 11:37 PM,90.62,56.31,50.00,12.61
"Wildcat Hill",234.1,Fri 10:45 PM,113.75,Wed 8:23 AM,51.40,Wed 9:25 PM,64.43,Fri 2:18 AM,93.30,57.91,51.40,13.03
"Trinity Heights",249.4,Sat 8:15 AM,123.25,Wed 11:18 AM,54.30,Thu 1:05 AM,68.10,Fri 7:40 AM,98.67,61.20,54.30,13.80
"FINISH Heritage Sq",253.3,Sat 10:00 AM,125.00,Wed 12:00 PM,55.00,Thu 2:00 AM,69.00,Fri 9:00 AM,100.00,62.00,55.00,14.00
